datetime,Latitude,Longitude
2020-02-19 16:34:38,nan,nan
2020-02-19 16:34:41,nan,nan
2020-02-19 16:34:44,nan,nan
2020-02-19 16:34:47,nan,nan
2020-02-19 16:34:50,nan,nan
2020-02-19 16:34:53,nan,nan
2020-02-19 16:34:56,nan,nan
2020-02-19 16:34:59,nan,nan
2020-02-19 16:35:02,nan,nan
2020-02-19 16:35:05,nan,nan
2020-02-19 16:35:08,nan,nan
2020-02-19 16:35:11,nan,nan
2020-02-19 16:35:14,nan,nan
2020-02-19 16:35:17,nan,nan
2020-02-19 16:35:20,nan,nan
2020-02-19 16:35:23,nan,nan
2020-02-19 16:35:26,nan,nan
2020-02-19 16:35:29,nan,nan
2020-02-19 16:35:32,nan,nan
2020-02-19 16:35:35,nan,nan
2020-02-19 16:35:38,nan,nan
2020-02-19 16:35:41,nan,nan
2020-02-19 16:35:44,nan,nan
2020-02-19 16:35:47,nan,nan
2020-02-19 16:35:50,nan,nan
2020-02-19 16:35:53,nan,nan
2020-02-19 16:35:56,nan,nan
2020-02-19 16:35:59,nan,nan
2020-02-19 16:36:02,nan,nan
2020-02-19 16:36:05,nan,nan
2020-02-19 16:36:08,nan,nan
2020-02-19 16:36:11,nan,nan
2020-02-19 16:36:14,nan,nan
2020-02-19 16:36:17,nan,nan
2020-02-19 16:36:20,nan,nan
2020-02-19 16:36:23,nan,nan
2020-02-19 16:36:26,nan,nan
2020-02-19 16:36:29,nan,nan
2020-02-19 16:36:33,nan,nan
2020-02-19 16:36:36,nan,nan
2020-02-19 16:36:39,nan,nan
2020-02-19 16:36:42,nan,nan
2020-02-19 16:36:45,nan,nan
2020-02-19 16:36:48,nan,nan
2020-02-19 16:36:51,nan,nan
2020-02-19 16:36:54,nan,nan
2020-02-19 16:36:57,nan,nan
2020-02-19 16:37:00,nan,nan
2020-02-19 16:37:03,nan,nan
2020-02-19 16:37:06,nan,nan
2020-02-19 16:37:09,nan,nan
2020-02-19 16:37:12,nan,nan
2020-02-19 16:37:15,nan,nan
2020-02-19 16:37:18,nan,nan
2020-02-19 16:37:21,nan,nan
2020-02-19 16:37:24,nan,nan
2020-02-19 16:37:27,nan,nan
2020-02-19 16:37:30,nan,nan
2020-02-19 16:37:33,nan,nan
2020-02-19 16:37:36,nan,nan
2020-02-19 16:37:39,nan,nan
2020-02-19 16:37:42,nan,nan
2020-02-19 16:37:45,nan,nan
2020-02-19 16:37:48,nan,nan
2020-02-19 16:37:51,nan,nan
2020-02-19 16:37:54,nan,nan
2020-02-19 16:37:57,nan,nan
2020-02-19 16:38:00,nan,nan
2020-02-19 16:38:03,nan,nan
2020-02-19 16:38:06,nan,nan
2020-02-19 16:38:09,nan,nan
2020-02-19 16:38:12,nan,nan
2020-02-19 16:38:15,nan,nan
2020-02-19 16:38:18,nan,nan
2020-02-19 16:38:21,nan,nan
2020-02-19 16:38:24,nan,nan
2020-02-19 16:38:27,nan,nan
2020-02-19 16:38:31,nan,nan
2020-02-19 16:38:34,nan,nan
2020-02-19 16:38:37,nan,nan
2020-02-19 16:38:40,nan,nan
2020-02-19 16:38:43,nan,nan
2020-02-19 16:38:46,nan,nan
2020-02-19 16:38:49,nan,nan
2020-02-19 16:38:52,nan,nan
2020-02-19 16:38:55,nan,nan
2020-02-19 16:38:58,nan,nan
2020-02-19 16:39:01,nan,nan
2020-02-19 16:39:04,nan,nan
2020-02-19 16:39:07,nan,nan
2020-02-19 16:39:10,nan,nan
2020-02-19 16:39:13,nan,nan
2020-02-19 16:39:16,nan,nan
2020-02-19 16:39:19,nan,nan
2020-02-19 16:39:22,nan,nan
2020-02-19 16:39:25,nan,nan
2020-02-19 16:39:28,nan,nan
2020-02-19 16:39:31,nan,nan
2020-02-19 16:39:34,nan,nan
2020-02-19 16:39:37,nan,nan
2020-02-19 16:39:40,nan,nan
2020-02-19 16:39:43,nan,nan
2020-02-19 16:39:46,nan,nan
2020-02-19 16:39:49,nan,nan
2020-02-19 16:39:52,nan,nan
2020-02-19 16:39:55,nan,nan
2020-02-19 16:39:58,nan,nan
2020-02-19 16:40:01,nan,nan
2020-02-19 16:40:04,nan,nan
2020-02-19 16:40:07,nan,nan
2020-02-19 16:40:10,nan,nan
2020-02-19 16:40:13,nan,nan
2020-02-19 16:40:16,nan,nan
2020-02-19 16:40:19,nan,nan
2020-02-19 16:40:22,nan,nan
2020-02-19 16:40:25,nan,nan
2020-02-19 16:40:28,nan,nan
2020-02-19 16:40:32,nan,nan
2020-02-19 16:40:35,nan,nan
2020-02-19 16:40:38,nan,nan
2020-02-19 16:40:41,nan,nan
2020-02-19 16:40:44,nan,nan
2020-02-19 16:40:47,nan,nan
2020-02-19 16:40:50,nan,nan
2020-02-19 16:40:53,nan,nan
2020-02-19 16:40:56,nan,nan
2020-02-19 16:40:59,nan,nan
2020-02-19 16:41:02,nan,nan
2020-02-19 16:41:05,nan,nan
2020-02-19 16:41:08,nan,nan
2020-02-19 16:41:11,nan,nan
2020-02-19 16:41:14,nan,nan
2020-02-19 16:41:17,nan,nan
2020-02-19 16:41:20,nan,nan
2020-02-19 16:41:23,nan,nan
2020-02-19 16:41:26,nan,nan
2020-02-19 16:41:29,nan,nan
2020-02-19 16:41:32,nan,nan
2020-02-19 16:41:35,nan,nan
2020-02-19 16:41:38,nan,nan
2020-02-19 16:41:41,nan,nan
